700,7,39.314777
1930,57,-63.235597
3160,150,23.363585
4390,207,-6.261646
5620,436,-42.500428
6850,614,140.179840
8080,699,145.846827
9310,946,372.449138
10540,1499,338.813985
11770,1843,377.576667
13000,2251,523.051325
700,9,39.314777
1930,47,-63.235597
3160,150,23.363585
4390,269,-6.261646
5620,435,-42.500428
6850,628,140.179840
8080,881,145.846827
9310,1169,372.449138
10540,1195,338.813985
11770,1475,377.576667
13000,2256,523.051325
700,8,39.314777
1930,53,-63.235597
3160,144,23.363585
4390,262,-6.261646
5620,429,-42.500428
6850,629,140.179840
8080,880,145.846827
9310,1157,372.449138
10540,1489,338.813985
11770,1488,377.576667
13000,1840,523.051325
700,8,39.314777
1930,45,-63.235597
3160,111,23.363585
4390,275,-6.261646
5620,343,-42.500428
6850,534,140.179840
8080,880,145.846827
9310,1180,372.449138
10540,1283,338.813985
11770,1828,377.576667
13000,2240,523.051325
700,10,39.314777
1930,54,-63.235597
3160,140,23.363585
4390,261,-6.261646
5620,430,-42.500428
6850,652,140.179840
8080,875,145.846827
9310,1155,372.449138
10540,1480,338.813985
11770,1703,377.576667
13000,1848,523.051325
700,8,39.314777
1930,55,-63.235597
3160,139,23.363585
4390,232,-6.261646
5620,364,-42.500428
6850,641,140.179840
8080,884,145.846827
9310,1165,372.449138
10540,1493,338.813985
11770,1855,377.576667
13000,2253,523.051325
700,8,39.314777
1930,48,-63.235597
3160,144,23.363585
4390,267,-6.261646
5620,420,-42.500428
6850,655,140.179840
8080,893,145.846827
9310,959,372.449138
10540,1190,338.813985
11770,1482,377.576667
13000,2212,523.051325
700,9,39.314777
1930,46,-63.235597
3160,127,23.363585
4390,272,-6.261646
5620,372,-42.500428
6850,646,140.179840
8080,887,145.846827
9310,1182,372.449138
10540,1513,338.813985
11770,1513,377.576667
13000,2171,523.051325
700,8,39.314777
1930,53,-63.235597
3160,142,23.363585
4390,261,-6.261646
5620,429,-42.500428
6850,654,140.179840
8080,887,145.846827
9310,1163,372.449138
10540,1493,338.813985
11770,1498,377.576667
13000,2235,523.051325
700,8,39.314777
1930,54,-63.235597
3160,138,23.363585
4390,265,-6.261646
5620,434,-42.500428
6850,632,140.179840
8080,868,145.846827
9310,1160,372.449138
10540,1505,338.813985
11770,1828,377.576667
13000,2242,523.051325
700,9,39.314777
1930,52,-63.235597
3160,140,23.363585
4390,256,-6.261646
5620,430,-42.500428
6850,511,140.179840
8080,874,145.846827
9310,946,372.449138
10540,1315,338.813985
11770,1949,377.576667
13000,2231,523.051325
700,10,39.314777
1930,54,-63.235597
3160,126,23.363585
4390,291,-6.261646
5620,455,-42.500428
6850,132,140.179840
8080,744,145.846827
9310,1027,372.449138
10540,1243,338.813985
11770,1854,377.576667
13000,1866,523.051325
700,8,39.314777
1930,55,-63.235597
3160,142,23.363585
4390,265,-6.261646
5620,355,-42.500428
6850,502,140.179840
8080,703,145.846827
9310,1177,372.449138
10540,1515,338.813985
11770,1464,377.576667
13000,2252,523.051325
700,9,39.314777
1930,46,-63.235597
3160,146,23.363585
4390,272,-6.261646
5620,418,-42.500428
6850,532,140.179840
8080,875,145.846827
9310,1168,372.449138
10540,1480,338.813985
11770,1588,377.576667
13000,1795,523.051325
700,8,39.314777
1930,54,-63.235597
3160,137,23.363585
4390,269,-6.261646
5620,425,-42.500428
6850,636,140.179840
8080,896,145.846827
9310,1159,372.449138
10540,1475,338.813985
11770,1852,377.576667
13000,2255,523.051325
700,10,39.314777
1930,56,-63.235597
3160,141,23.363585
4390,264,-6.261646
5620,428,-42.500428
6850,639,140.179840
8080,886,145.846827
9310,1163,372.449138
10540,1484,338.813985
11770,1460,377.576667
13000,2256,523.051325
700,8,39.314777
1930,55,-63.235597
3160,137,23.363585
4390,267,-6.261646
5620,403,-42.500428
6850,643,140.179840
8080,729,145.846827
9310,1163,372.449138
10540,1502,338.813985
11770,1857,377.576667
13000,2252,523.051325
700,8,39.314777
1930,53,-63.235597
3160,122,23.363585
4390,228,-6.261646
5620,359,-42.500428
6850,509,140.179840
8080,773,145.846827
9310,1027,372.449138
10540,1186,338.813985
11770,1481,377.576667
13000,1817,523.051325
700,8,39.314777
1930,56,-63.235597
3160,113,23.363585
4390,219,-6.261646
5620,398,-42.500428
6850,561,140.179840
8080,885,145.846827
9310,1172,372.449138
10540,1352,338.813985
11770,1731,377.576667
13000,1874,523.051325
700,10,39.314777
1930,54,-63.235597
3160,141,23.363585
4390,260,-6.261646
5620,432,-42.500428
6850,638,140.179840
8080,883,145.846827
9310,962,372.449138
10540,1437,338.813985
11770,1826,377.576667
13000,2350,523.051325
