700,9,39.617280
1930,58,-62.936219
3160,148,23.119615
4390,263,-6.546258
5620,437,-42.785039
6850,649,139.073040
8080,889,145.220060
9310,1200,371.822371
10540,1508,339.294018
11770,1893,378.273666
13000,2309,524.703893
700,11,39.617280
1930,55,-62.936219
3160,144,23.119615
4390,274,-6.546258
5620,393,-42.785039
6850,533,139.073040
8080,747,145.220060
9310,1192,371.822371
10540,1218,339.294018
11770,1540,378.273666
13000,1924,524.703893
700,8,39.617280
1930,52,-62.936219
3160,144,23.119615
4390,271,-6.546258
5620,431,-42.785039
6850,649,139.073040
8080,870,145.220060
9310,1147,371.822371
10540,1536,339.294018
11770,1900,378.273666
13000,1869,524.703893
700,9,39.617280
1930,55,-62.936219
3160,150,23.119615
4390,272,-6.546258
5620,445,-42.785039
6850,524,139.073040
8080,737,145.220060
9310,1205,371.822371
10540,1517,339.294018
11770,1895,378.273666
13000,2297,524.703893
700,8,39.617280
1930,60,-62.936219
3160,147,23.119615
4390,279,-6.546258
5620,441,-42.785039
6850,538,139.073040
8080,905,145.220060
9310,1189,371.822371
10540,1522,339.294018
11770,1897,378.273666
13000,2301,524.703893
700,11,39.617280
1930,59,-62.936219
3160,118,23.119615
4390,233,-6.546258
5620,367,-42.785039
6850,517,139.073040
8080,744,145.220060
9310,958,371.822371
10540,1535,339.294018
11770,1902,378.273666
13000,2301,524.703893
700,9,39.617280
1930,59,-62.936219
3160,121,23.119615
4390,242,-6.546258
5620,384,-42.785039
6850,662,139.073040
8080,870,145.220060
9310,1078,371.822371
10540,1521,339.294018
11770,1588,378.273666
13000,1842,524.703893
700,10,39.617280
1930,54,-62.936219
3160,112,23.119615
4390,280,-6.546258
5620,446,-42.785039
6850,538,139.073040
8080,711,145.220060
9310,1156,371.822371
10540,1337,339.294018
11770,1911,378.273666
13000,2315,524.703893
700,8,39.617280
1930,46,-62.936219
3160,123,23.119615
4390,229,-6.546258
5620,68,-42.785039
6850,524,139.073040
8080,909,145.220060
9310,1007,371.822371
10540,1517,339.294018
11770,1510,378.273666
13000,1963,524.703893
700,7,39.617280
1930,57,-62.936219
3160,107,23.119615
4390,222,-6.546258
5620,378,-42.785039
6850,527,139.073040
8080,720,145.220060
9310,1175,371.822371
10540,1510,339.294018
11770,1895,378.273666
13000,1923,524.703893
700,7,39.617280
1930,44,-62.936219
3160,113,23.119615
4390,218,-6.546258
5620,376,-42.785039
6850,657,139.073040
8080,885,145.220060
9310,1138,371.822371
10540,1220,339.294018
11770,1635,378.273666
13000,2002,524.703893
700,13,39.617280
1930,56,-62.936219
3160,141,23.119615
4390,278,-6.546258
5620,436,-42.785039
6850,649,139.073040
8080,774,145.220060
9310,974,371.822371
10540,1224,339.294018
11770,1526,378.273666
13000,1887,524.703893
700,8,39.617280
1930,49,-62.936219
3160,141,23.119615
4390,269,-6.546258
5620,443,-42.785039
6850,651,139.073040
8080,912,145.220060
9310,1185,371.822371
10540,1526,339.294018
11770,1909,378.273666
13000,2318,524.703893
700,8,39.617280
1930,55,-62.936219
3160,146,23.119615
4390,272,-6.546258
5620,454,-42.785039
6850,671,139.073040
8080,706,145.220060
9310,955,371.822371
10540,1219,339.294018
11770,1507,378.273666
13000,1839,524.703893
700,8,39.617280
1930,46,-62.936219
3160,148,23.119615
4390,216,-6.546258
5620,437,-42.785039
6850,557,139.073040
8080,761,145.220060
9310,1199,371.822371
10540,1516,339.294018
11770,1911,378.273666
13000,2342,524.703893
700,14,39.617280
1930,56,-62.936219
3160,144,23.119615
4390,280,-6.546258
5620,438,-42.785039
6850,654,139.073040
8080,899,145.220060
9310,1197,371.822371
10540,1530,339.294018
11770,1904,378.273666
13000,1902,524.703893
700,8,39.617280
1930,58,-62.936219
3160,141,23.119615
4390,214,-6.546258
5620,442,-42.785039
6850,517,139.073040
8080,742,145.220060
9310,1191,371.822371
10540,1522,339.294018
11770,1899,378.273666
13000,2318,524.703893
700,10,39.617280
1930,55,-62.936219
3160,143,23.119615
4390,269,-6.546258
5620,443,-42.785039
6850,566,139.073040
8080,909,145.220060
9310,1089,371.822371
10540,1531,339.294018
11770,1897,378.273666
13000,1948,524.703893
700,9,39.617280
1930,60,-62.936219
3160,144,23.119615
4390,275,-6.546258
5620,439,-42.785039
6850,648,139.073040
8080,915,145.220060
9310,994,371.822371
10540,1510,339.294018
11770,1519,378.273666
13000,2302,524.703893
700,19,39.617280
1930,46,-62.936219
3160,148,23.119615
4390,264,-6.546258
5620,432,-42.785039
6850,648,139.073040
8080,816,145.220060
9310,983,371.822371
10540,1416,339.294018
11770,1500,378.273666
13000,2291,524.703893
