700,33,39.617280
1930,112,-62.936219
3160,165,23.119615
4390,231,-6.546258
5620,367,-42.785039
6850,615,139.073040
8080,980,145.220060
9310,1005,371.822371
10540,1374,339.294018
11770,1682,378.273666
13000,2050,524.703893
700,13,39.617280
1930,147,-62.936219
3160,170,23.119615
4390,248,-6.546258
5620,437,-42.785039
6850,608,139.073040
8080,766,145.220060
9310,1128,371.822371
10540,1429,339.294018
11770,1798,378.273666
13000,2069,524.703893
700,13,39.617280
1930,74,-62.936219
3160,147,23.119615
4390,267,-6.546258
5620,469,-42.785039
6850,584,139.073040
8080,798,145.220060
9310,1099,371.822371
10540,1323,339.294018
11770,1738,378.273666
13000,2073,524.703893
700,15,39.617280
1930,60,-62.936219
3160,151,23.119615
4390,281,-6.546258
5620,403,-42.785039
6850,572,139.073040
8080,1087,145.220060
9310,1030,371.822371
10540,1340,339.294018
11770,1608,378.273666
13000,2145,524.703893
700,23,39.617280
1930,57,-62.936219
3160,150,23.119615
4390,533,-6.546258
5620,411,-42.785039
6850,560,139.073040
8080,811,145.220060
9310,1124,371.822371
10540,1347,339.294018
11770,1683,378.273666
13000,2157,524.703893
700,23,39.617280
1930,102,-62.936219
3160,179,23.119615
4390,261,-6.546258
5620,378,-42.785039
6850,593,139.073040
8080,808,145.220060
9310,1244,371.822371
10540,1324,339.294018
11770,1579,378.273666
13000,2003,524.703893
700,23,39.617280
1930,77,-62.936219
3160,178,23.119615
4390,263,-6.546258
5620,433,-42.785039
6850,542,139.073040
8080,820,145.220060
9310,1120,371.822371
10540,1453,339.294018
11770,1694,378.273666
13000,2140,524.703893
700,13,39.617280
1930,77,-62.936219
3160,125,23.119615
4390,282,-6.546258
5620,423,-42.785039
6850,279,139.073040
8080,941,145.220060
9310,1095,371.822371
10540,1306,339.294018
11770,1739,378.273666
13000,2017,524.703893
700,36,39.617280
1930,53,-62.936219
3160,127,23.119615
4390,291,-6.546258
5620,407,-42.785039
6850,608,139.073040
8080,860,145.220060
9310,1166,371.822371
10540,1411,339.294018
11770,1773,378.273666
13000,2020,524.703893
700,13,39.617280
1930,55,-62.936219
3160,193,23.119615
4390,308,-6.546258
5620,374,-42.785039
6850,586,139.073040
8080,775,145.220060
9310,976,371.822371
10540,1345,339.294018
11770,1439,378.273666
13000,1994,524.703893
700,14,39.617280
1930,58,-62.936219
3160,145,23.119615
4390,235,-6.546258
5620,438,-42.785039
6850,584,139.073040
8080,834,145.220060
9310,1022,371.822371
10540,1357,339.294018
11770,1852,378.273666
13000,2104,524.703893
700,11,39.617280
1930,66,-62.936219
3160,215,23.119615
4390,259,-6.546258
5620,428,-42.785039
6850,609,139.073040
8080,780,145.220060
9310,1088,371.822371
10540,1287,339.294018
11770,1795,378.273666
13000,2061,524.703893
700,13,39.617280
1930,66,-62.936219
3160,171,23.119615
4390,279,-6.546258
5620,420,-42.785039
6850,625,139.073040
8080,830,145.220060
9310,996,371.822371
10540,1427,339.294018
11770,1630,378.273666
13000,1992,524.703893
700,16,39.617280
1930,91,-62.936219
3160,131,23.119615
4390,326,-6.546258
5620,467,-42.785039
6850,554,139.073040
8080,783,145.220060
9310,1048,371.822371
10540,1639,339.294018
11770,1696,378.273666
13000,2017,524.703893
700,14,39.617280
1930,72,-62.936219
3160,159,23.119615
4390,266,-6.546258
5620,406,-42.785039
6850,608,139.073040
8080,861,145.220060
9310,1033,371.822371
10540,1576,339.294018
11770,1766,378.273666
13000,2048,524.703893
700,58,39.617280
1930,76,-62.936219
3160,152,23.119615
4390,280,-6.546258
5620,507,-42.785039
6850,580,139.073040
8080,780,145.220060
9310,1078,371.822371
10540,1432,339.294018
11770,1736,378.273666
13000,1961,524.703893
700,16,39.617280
1930,63,-62.936219
3160,190,23.119615
4390,268,-6.546258
5620,410,-42.785039
6850,607,139.073040
8080,795,145.220060
9310,1200,371.822371
10540,1360,339.294018
11770,1714,378.273666
13000,2052,524.703893
700,14,39.617280
1930,63,-62.936219
3160,146,23.119615
4390,268,-6.546258
5620,626,-42.785039
6850,634,139.073040
8080,998,145.220060
9310,1058,371.822371
10540,1457,339.294018
11770,1723,378.273666
13000,2044,524.703893
700,21,39.617280
1930,66,-62.936219
3160,171,23.119615
4390,280,-6.546258
5620,381,-42.785039
6850,557,139.073040
8080,969,145.220060
9310,1017,371.822371
10540,1284,339.294018
11770,1677,378.273666
13000,2064,524.703893
700,157,39.617280
1930,69,-62.936219
3160,147,23.119615
4390,235,-6.546258
5620,392,-42.785039
6850,700,139.073040
8080,788,145.220060
9310,1125,371.822371
10540,1353,339.294018
11770,1627,378.273666
13000,1985,524.703893
