700,10,37.962498
1930,57,-64.195858
3160,202,21.120803
4390,311,-7.577237
5620,481,-46.479468
6850,674,136.521831
8080,905,143.102252
9310,1165,369.474336
10540,1424,337.680306
11770,1820,375.178264
13000,2105,522.199693
700,10,37.962498
1930,53,-64.195858
3160,186,21.120803
4390,323,-7.577237
5620,476,-46.479468
6850,663,136.521831
8080,905,143.102252
9310,1171,369.474336
10540,1432,337.680306
11770,1816,375.178264
13000,2125,522.199693
700,8,37.962498
1930,60,-64.195858
3160,179,21.120803
4390,311,-7.577237
5620,476,-46.479468
6850,665,136.521831
8080,893,143.102252
9310,1172,369.474336
10540,1471,337.680306
11770,1882,375.178264
13000,2181,522.199693
700,10,37.962498
1930,63,-64.195858
3160,178,21.120803
4390,309,-7.577237
5620,482,-46.479468
6850,638,136.521831
8080,917,143.102252
9310,1190,369.474336
10540,1427,337.680306
11770,1803,375.178264
13000,2177,522.199693
700,11,37.962498
1930,55,-64.195858
3160,183,21.120803
4390,304,-7.577237
5620,479,-46.479468
6850,663,136.521831
8080,899,143.102252
9310,1167,369.474336
10540,1459,337.680306
11770,1791,375.178264
13000,2187,522.199693
700,9,37.962498
1930,55,-64.195858
3160,187,21.120803
4390,311,-7.577237
5620,475,-46.479468
6850,661,136.521831
8080,882,143.102252
9310,1161,369.474336
10540,1453,337.680306
11770,1781,375.178264
13000,2199,522.199693
700,8,37.962498
1930,55,-64.195858
3160,186,21.120803
4390,325,-7.577237
5620,477,-46.479468
6850,687,136.521831
8080,901,143.102252
9310,1173,369.474336
10540,1536,337.680306
11770,1817,375.178264
13000,2179,522.199693
700,13,37.962498
1930,60,-64.195858
3160,176,21.120803
4390,318,-7.577237
5620,463,-46.479468
6850,648,136.521831
8080,897,143.102252
9310,1170,369.474336
10540,1445,337.680306
11770,1819,375.178264
13000,2203,522.199693
700,9,37.962498
1930,61,-64.195858
3160,183,21.120803
4390,313,-7.577237
5620,483,-46.479468
6850,680,136.521831
8080,893,143.102252
9310,1163,369.474336
10540,1416,337.680306
11770,1761,375.178264
13000,2156,522.199693
700,3,37.962498
1930,56,-64.195858
3160,182,21.120803
4390,308,-7.577237
5620,484,-46.479468
6850,672,136.521831
8080,909,143.102252
9310,1180,369.474336
10540,1444,337.680306
11770,1817,375.178264
13000,2140,522.199693
700,10,37.962498
1930,53,-64.195858
3160,179,21.120803
4390,310,-7.577237
5620,466,-46.479468
6850,643,136.521831
8080,868,143.102252
9310,1148,369.474336
10540,1426,337.680306
11770,1749,375.178264
13000,2107,522.199693
700,12,37.962498
1930,56,-64.195858
3160,187,21.120803
4390,311,-7.577237
5620,486,-46.479468
6850,644,136.521831
8080,888,143.102252
9310,1123,369.474336
10540,1454,337.680306
11770,1839,375.178264
13000,2225,522.199693
700,10,37.962498
1930,57,-64.195858
3160,186,21.120803
4390,313,-7.577237
5620,474,-46.479468
6850,673,136.521831
8080,902,143.102252
9310,1165,369.474336
10540,1451,337.680306
11770,1789,375.178264
13000,2186,522.199693
700,12,37.962498
1930,59,-64.195858
3160,186,21.120803
4390,320,-7.577237
5620,474,-46.479468
6850,661,136.521831
8080,894,143.102252
9310,1147,369.474336
10540,1464,337.680306
11770,1855,375.178264
13000,2149,522.199693
700,9,37.962498
1930,59,-64.195858
3160,182,21.120803
4390,306,-7.577237
5620,469,-46.479468
6850,653,136.521831
8080,925,143.102252
9310,1153,369.474336
10540,1438,337.680306
11770,1774,375.178264
13000,2147,522.199693
700,11,37.962498
1930,62,-64.195858
3160,177,21.120803
4390,305,-7.577237
5620,452,-46.479468
6850,657,136.521831
8080,876,143.102252
9310,1136,369.474336
10540,1427,337.680306
11770,1780,375.178264
13000,2152,522.199693
700,10,37.962498
1930,53,-64.195858
3160,183,21.120803
4390,322,-7.577237
5620,469,-46.479468
6850,677,136.521831
8080,878,143.102252
9310,1178,369.474336
10540,1423,337.680306
11770,1789,375.178264
13000,2206,522.199693
700,11,37.962498
1930,59,-64.195858
3160,183,21.120803
4390,330,-7.577237
5620,485,-46.479468
6850,671,136.521831
8080,938,143.102252
9310,1158,369.474336
10540,1475,337.680306
11770,1812,375.178264
13000,2208,522.199693
700,11,37.962498
1930,58,-64.195858
3160,186,21.120803
4390,322,-7.577237
5620,483,-46.479468
6850,670,136.521831
8080,899,143.102252
9310,1165,369.474336
10540,1448,337.680306
11770,1802,375.178264
13000,2165,522.199693
700,11,37.962498
1930,64,-64.195858
3160,179,21.120803
4390,310,-7.577237
5620,467,-46.479468
6850,686,136.521831
8080,884,143.102252
9310,1128,369.474336
10540,1437,337.680306
11770,1814,375.178264
13000,2205,522.199693
700,11,37.962498
1930,55,-64.195858
3160,188,21.120803
4390,336,-7.577237
5620,493,-46.479468
6850,677,136.521831
8080,923,143.102252
9310,1191,369.474336
10540,1480,337.680306
11770,1777,375.178264
13000,2082,522.199693
700,9,37.962498
1930,54,-64.195858
3160,182,21.120803
4390,322,-7.577237
5620,479,-46.479468
6850,663,136.521831
8080,867,143.102252
9310,1143,369.474336
10540,1455,337.680306
11770,1797,375.178264
13000,2148,522.199693
700,0,37.962498
1930,57,-64.195858
3160,177,21.120803
4390,306,-7.577237
5620,512,-46.479468
6850,649,136.521831
8080,865,143.102252
9310,1147,369.474336
10540,1419,337.680306
11770,1857,375.178264
13000,2228,522.199693
700,12,37.962498
1930,58,-64.195858
3160,179,21.120803
4390,315,-7.577237
5620,466,-46.479468
6850,649,136.521831
8080,877,143.102252
9310,1138,369.474336
10540,1452,337.680306
11770,1805,375.178264
13000,2163,522.199693
700,11,37.962498
1930,60,-64.195858
3160,186,21.120803
4390,316,-7.577237
5620,476,-46.479468
6850,678,136.521831
8080,900,143.102252
9310,1165,369.474336
10540,1465,337.680306
11770,1819,375.178264
13000,2178,522.199693
700,9,37.962498
1930,58,-64.195858
3160,185,21.120803
4390,307,-7.577237
5620,473,-46.479468
6850,669,136.521831
8080,917,143.102252
9310,1166,369.474336
10540,1463,337.680306
11770,1817,375.178264
13000,2124,522.199693
700,9,37.962498
1930,54,-64.195858
3160,180,21.120803
4390,319,-7.577237
5620,474,-46.479468
6850,647,136.521831
8080,866,143.102252
9310,1150,369.474336
10540,1430,337.680306
11770,1795,375.178264
13000,2203,522.199693
700,11,37.962498
1930,56,-64.195858
3160,182,21.120803
4390,310,-7.577237
5620,473,-46.479468
6850,656,136.521831
8080,940,143.102252
9310,1169,369.474336
10540,1482,337.680306
11770,1825,375.178264
13000,2223,522.199693
700,12,37.962498
1930,57,-64.195858
3160,180,21.120803
4390,314,-7.577237
5620,475,-46.479468
6850,667,136.521831
8080,921,143.102252
9310,1189,369.474336
10540,1505,337.680306
11770,1860,375.178264
13000,2242,522.199693
700,9,37.962498
1930,57,-64.195858
3160,184,21.120803
4390,317,-7.577237
5620,495,-46.479468
6850,671,136.521831
8080,912,143.102252
9310,1186,369.474336
10540,1452,337.680306
11770,1824,375.178264
13000,2192,522.199693
700,11,37.962498
1930,60,-64.195858
3160,184,21.120803
4390,316,-7.577237
5620,475,-46.479468
6850,673,136.521831
8080,909,143.102252
9310,1145,369.474336
10540,1495,337.680306
11770,1827,375.178264
13000,2212,522.199693
700,10,37.962498
1930,58,-64.195858
3160,178,21.120803
4390,316,-7.577237
5620,486,-46.479468
6850,665,136.521831
8080,917,143.102252
9310,1185,369.474336
10540,1466,337.680306
11770,1830,375.178264
13000,2199,522.199693
700,9,37.962498
1930,54,-64.195858
3160,182,21.120803
4390,309,-7.577237
