700,12,37.962498
1930,155,-64.195858
3160,246,21.120803
4390,412,-7.577237
5620,702,-46.479468
6850,872,136.521831
8080,1147,143.102252
9310,1449,369.474336
10540,1770,337.680306
11770,2191,375.178264
13000,2223,522.199693
700,10,37.962498
1930,137,-64.195858
3160,218,21.120803
4390,337,-7.577237
5620,546,-46.479468
6850,799,136.521831
8080,1050,143.102252
9310,1440,369.474336
10540,2392,337.680306
11770,2124,375.178264
13000,2269,522.199693
700,9,37.962498
1930,139,-64.195858
3160,228,21.120803
4390,377,-7.577237
5620,503,-46.479468
6850,748,136.521831
8080,1050,143.102252
9310,1387,369.474336
10540,1821,337.680306
11770,2084,375.178264
13000,2671,522.199693
700,16,37.962498
1930,141,-64.195858
3160,233,21.120803
4390,402,-7.577237
5620,568,-46.479468
6850,808,136.521831
8080,1071,143.102252
9310,1119,369.474336
10540,1624,337.680306
11770,2158,375.178264
13000,2527,522.199693
700,10,37.962498
1930,137,-64.195858
3160,230,21.120803
4390,355,-7.577237
5620,517,-46.479468
6850,752,136.521831
8080,999,143.102252
9310,1186,369.474336
10540,1728,337.680306
11770,2130,375.178264
13000,2583,522.199693
700,8,37.962498
1930,128,-64.195858
3160,218,21.120803
4390,365,-7.577237
5620,580,-46.479468
6850,780,136.521831
8080,1103,143.102252
9310,1348,369.474336
10540,1628,337.680306
11770,1882,375.178264
13000,2687,522.199693
700,15,37.962498
1930,150,-64.195858
3160,225,21.120803
4390,373,-7.577237
5620,530,-46.479468
6850,749,136.521831
8080,914,143.102252
9310,1383,369.474336
10540,1562,337.680306
11770,1999,375.178264
13000,2630,522.199693
700,11,37.962498
1930,133,-64.195858
3160,225,21.120803
4390,361,-7.577237
5620,538,-46.479468
6850,792,136.521831
8080,1005,143.102252
9310,1272,369.474336
10540,1664,337.680306
11770,1900,375.178264
13000,2636,522.199693
700,9,37.962498
1930,133,-64.195858
3160,239,21.120803
4390,359,-7.577237
5620,510,-46.479468
6850,808,136.521831
8080,961,143.102252
9310,1453,369.474336
10540,1486,337.680306
11770,1909,375.178264
13000,2610,522.199693
700,11,37.962498
1930,139,-64.195858
3160,223,21.120803
4390,392,-7.577237
5620,545,-46.479468
6850,696,136.521831
8080,967,143.102252
9310,1346,369.474336
10540,1725,337.680306
11770,2147,375.178264
13000,2669,522.199693
700,12,37.962498
1930,146,-64.195858
3160,237,21.120803
4390,396,-7.577237
5620,541,-46.479468
6850,709,136.521831
8080,1094,143.102252
9310,1331,369.474336
10540,1962,337.680306
11770,2041,375.178264
13000,2515,522.199693
700,10,37.962498
1930,132,-64.195858
3160,210,21.120803
4390,418,-7.577237
5620,514,-46.479468
6850,810,136.521831
8080,944,143.102252
9310,1593,369.474336
10540,1584,337.680306
11770,2185,375.178264
13000,2270,522.199693
700,12,37.962498
1930,119,-64.195858
3160,235,21.120803
4390,377,-7.577237
5620,594,-46.479468
6850,816,136.521831
8080,1084,143.102252
9310,1482,369.474336
10540,1580,337.680306
11770,2131,375.178264
13000,2331,522.199693
700,11,37.962498
1930,127,-64.195858
3160,212,21.120803
4390,360,-7.577237
5620,565,-46.479468
6850,800,136.521831
8080,1039,143.102252
9310,1393,369.474336
10540,1651,337.680306
11770,2238,375.178264
13000,2487,522.199693
700,14,37.962498
1930,160,-64.195858
3160,256,21.120803
4390,372,-7.577237
5620,598,-46.479468
6850,810,136.521831
8080,1031,143.102252
9310,1328,369.474336
10540,1735,337.680306
11770,1778,375.178264
13000,2464,522.199693
700,12,37.962498
1930,143,-64.195858
3160,209,21.120803
4390,368,-7.577237
5620,581,-46.479468
6850,790,136.521831
8080,998,143.102252
9310,1320,369.474336
10540,1849,337.680306
11770,2012,375.178264
13000,2587,522.199693
700,17,37.962498
1930,118,-64.195858
3160,230,21.120803
4390,368,-7.577237
5620,531,-46.479468
6850,815,136.521831
8080,1074,143.102252
9310,1169,369.474336
10540,1437,337.680306
11770,1829,375.178264
13000,2128,522.199693
700,9,37.962498
1930,148,-64.195858
3160,239,21.120803
4390,364,-7.577237
5620,515,-46.479468
6850,708,136.521831
8080,957,143.102252
9310,1212,369.474336
10540,1463,337.680306
11770,2148,375.178264
13000,2621,522.199693
700,11,37.962498
1930,139,-64.195858
3160,220,21.120803
4390,385,-7.577237
5620,538,-46.479468
6850,781,136.521831
8080,1071,143.102252
9310,1349,369.474336
10540,1770,337.680306
11770,2151,375.178264
13000,2665,522.199693
700,12,37.962498
1930,133,-64.195858
3160,223,21.120803
4390,364,-7.577237
5620,546,-46.479468
6850,699,136.521831
8080,950,143.102252
9310,1172,369.474336
10540,1787,337.680306
11770,2236,375.178264
13000,2169,522.199693
